models7 actual data first 30 rows/items


========================================================================================================================
CatBoost_test.parquet
========================================================================================================================
 recency_days  tenure_days  ndays  n_events  n_view  n_cart  n_remove_from_cart  n_purchase  avg_price  purch_amt  churn  user_id
     0.061586     0.000000 0.000000  0.000000 0.070130 0.000000            0.000000    0.000000   0.193697   0.000000      1 26472395
     0.481694     0.076647 0.349167  0.300761 0.317238 0.218802            0.083119    0.296056   0.017246   0.370126      1 27872944
     0.346354     0.000155 0.000000  0.220744 0.181283 0.292820            0.000000    0.000000   0.016269   0.000000      1 28129653
     0.631556     0.000006 0.000000  0.097269 0.111153 0.134158            0.000000    0.000000   0.011136   0.000000      1 29678219
     0.526898     0.132937 0.102125  0.043042 0.111153 0.000000            0.000000    0.000000   0.024224   0.000000      1 30911274
     0.489300     0.112508 0.315534  0.132988 0.196880 0.000000            0.000000    0.000000   0.026146   0.000000      1 30967218
     0.164775     0.005230 0.000000  0.335133 0.347438 0.313220            0.192995    0.000000   0.027333   0.000000      1 31328299
     0.634680     0.000000 0.000000  0.000000 0.070130 0.000000            0.000000    0.000000   0.021783   0.000000      1 32810273
     0.546223     0.000000 0.000000  0.000000 0.000000 0.084644            0.000000    0.000000   0.016963   0.000000      1 33324336
     0.787037     0.009033 0.102125  0.116624 0.140260 0.084644            0.083119    0.000000   0.008640   0.000000      1 33535391
     0.052619     0.000145 0.000000  0.097269 0.162837 0.000000            0.000000    0.000000   0.030508   0.000000      1 34306211
     0.110747     0.129498 0.102125  0.159666 0.196880 0.134158            0.000000    0.000000   0.018179   0.000000      1 34344195
     0.663417     0.000000 0.000000  0.000000 0.070130 0.000000            0.000000    0.000000   0.033407   0.000000      1 35376580
     0.173027     0.000000 0.000000  0.043042 0.111153 0.000000            0.000000    0.000000   0.061017   0.000000      1 36654062
     0.443411     0.000152 0.000000  0.097269 0.162837 0.000000            0.000000    0.000000   0.032774   0.000000      1 37807189
     0.066881     0.050974 0.102125  0.097269 0.162837 0.000000            0.000000    0.000000   0.016482   0.000000      1 38069416
     0.510651     0.000017 0.000000  0.043042 0.111153 0.000000            0.000000    0.000000   0.047928   0.000000      0 38192170
     0.456219     0.000036 0.000000  0.043042 0.111153 0.000000            0.000000    0.000000   0.072732   0.000000      1 38560385
     0.320104     0.000023 0.000000  0.073581 0.000000 0.169288            0.000000    0.000000   0.046169   0.000000      1 38721999
