"Root","RelativePath","Extension","SizeBytes","LastWriteTime"
"from_colab","from_colab\0604-s\dimensionality_reduction_completed_모범답안.ipynb",".ipynb","1329270","2026-06-08 21:29:09"
"from_colab","from_colab\0604-s\dimensionality_reduction_practice.ipynb",".ipynb","1107374","2026-06-08 21:29:09"
"from_colab","from_colab\0604-s\dimensionality_reduction_practice_completed_모범답안.ipynb",".ipynb","1124612","2026-06-08 21:29:09"
"from_colab","from_colab\0604-s\dimensionality_reduction_practice-실습.ipynb",".ipynb","2951111","2026-06-08 21:29:09"
"from_colab","from_colab\0604-s\dimensionality_reduction-실습.ipynb",".ipynb","3264413","2026-06-08 21:29:09"
"from_colab","from_colab\0604-s\pytorch_knn_breast_cancer.ipynb",".ipynb","131108","2026-06-08 21:29:09"
"from_colab","from_colab\0604-s\pytorch_knn_breast_cancer-실습.ipynb",".ipynb","329737","2026-06-08 21:29:09"
"from_colab","from_colab\0605-s\7_머신러닝_비지도학습알고리즘.pdf",".pdf","1248226","2026-06-08 21:29:09"
"from_colab","from_colab\0605-s\online_retail_uci_torch_association_rules_colab_모범답안.ipynb",".ipynb","642216","2026-06-08 21:29:10"
"from_colab","from_colab\0605-s\online+retail.zip",".zip","23715478","2026-06-08 21:29:10"
"from_colab","from_colab\0605-s\shop_groceries.csv",".csv","510697","2026-06-08 21:29:10"
"from_colab","from_colab\0605-s\torch_association_rules(실습포함)_모범답안.ipynb",".ipynb","615750","2026-06-08 21:29:10"
"from_colab","from_colab\0605-s\torch_association_rules.ipynb",".ipynb","448665","2026-06-08 21:29:10"
"from_colab","from_colab\0605-s\torch_association_rules-실습.ipynb",".ipynb","580394","2026-06-08 21:29:10"
"from_colab","from_colab\0605-s\uci_iris_torch_kmeans_clustering_colab.ipynb",".ipynb","20818","2026-06-08 21:29:10"
"from_colab","from_colab\0605-s\실습_7_작업중.ipynb",".ipynb","612194","2026-06-08 21:29:10"
"from_colab","from_colab\0605-s\실습문제_7.ipynb",".ipynb","1313452","2026-06-08 21:29:10"
"from_colab","from_colab\0605-s\실습문제_7_모범답안_online_retail_uci_torch_association_rules_colab.ipynb",".ipynb","642216","2026-06-08 21:29:10"
"from_colab","from_colab\0605-s\연관규칙분석_실습문제.txt",".txt","5113","2026-06-08 21:29:10"
"from_colab","from_colab\test.py",".py","223","2026-06-10 09:11:31"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\1_딥러닝개념_프레임워크설치.pdf",".pdf","2598507","2026-06-09 09:07:28"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\day1_heart_실습_모범답안.pdf",".pdf","847280","2026-06-09 09:07:28"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\day1_housing_실습_모범답안.pdf",".pdf","815523","2026-06-09 09:07:28"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\heart.csv",".csv","11328","2026-06-09 09:07:28"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\heart_pytorch_dnn.ipynb",".ipynb","273404","2026-06-09 09:07:28"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\heart_pytorch_dnn_실습_완.ipynb",".ipynb","237621","2026-06-09 09:41:57"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\heart_pytorch_dnn_실습1.ipynb",".ipynb","538506","2026-06-09 09:07:28"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\heart_pytorch_dnn_실습문제.txt",".txt","48912","2026-06-09 10:05:52"
